Question,Answer,Answer_all_parts_of_the_question,Present_relevant_ideas,Fully_explain_these_ideas,"Support_ideas_with_relevant, specific_examples",Score
Is having creativity important in the 4.0 indistrial era?,"In the 4. 0 industrial era, many industries need right strategies to meet higher efficiency on production, more expansion to new markets, and more competency in the global business. One of those strategies is creating skilled workers, a ready to face human resources, to meet requirements in the 4. 0 industrial revolution. The skilled workers needed because they posses knowledge, skills, and abilities that seek by companies. Furthermore, as demands of skilled workers increase, requirements to meet is also remains challenging. For example, many companies’ today require the workers to fulfill both hard skill and soft skill.

Linkedin reports the importance of balancing both hard skill and soft skill of workers. One of soft skills, a creativity, is becoming a great source of helping employees to do their jobs. Meanwhile, a creativity contributes to develop workers’ careers, the role of it is becoming crucial. Parlamis supports the statement by found that possessing creativity is a CORE, a competency that must had by job seekers to meet job criterion. ",Yes,No,Yes,No,6
talk about important experience that you recently had .Describe what happened.and explain why it was important to you?,"well, taking about my experience that i had was, when i was selected as the president of "" Baal Sanskar Aviyan''. in my hometown Butwal. I was quite panic at that moment, because that was my first and first experience in the stage. when i get into the stage i found many people in the hall which made more nervous. Actually, i got selected because of my good leadership and good commanding which i letter get to know from the committe of this project and i admire to that. we used to conduct the programme like speech compitition, quiz and many volunteering programme which made me habitualized with this and now i can developed the habit of developing the self confidance, leading the programme, as this is very important to me.",Yes,No,Yes,No,6
"Well, let's say that this year was for me full of interesting experiences, but if I have to choose only one, the most important and exciting was when I was in Moscow.","Well, let's say that this year was for me full of interesting experiences, but if I have to choose only one, the most important and exciting was when I was in Moscow. I worked as italian language teacher at the university. I had a small group of russian students. They were between 19 and 22 and very motivated to improve their knowledge. During the lessons we had a lot of fun, especially because sometimes happened very funny situations, like misunderstanding or mispronunciation. It was without doubt, the most important experience that I had recently and maybe in my all life. And now, I really miss my students! ",Yes,No,Yes,No,6
"Imagine a world without phones, quiet and peaceful yet feels lonely.","Imagine a world without phones, quiet and peaceful yet feels lonely. There's no denying that mobile phones have become a great part of our lives, but recent research has proven that they could be quite dangerous if not used properly.

There is no limit to what a phone can do. They enable you to have everything at a grasp of a hand, from communication to task management to develop habits. . . Etc. There are many apps designed to help you, for instance, there are apps that could be used in diet or that can aid you with learning languages, there are ones that facilitates communication and many more. That is all besides having internet that enables you to search whatever you want. Like it or hate it, but smart phones are simply irreplaceable.

Nevertheless, nothing is that good. While phones have lots of perks they prove to be detrimental. They are becoming very addictive; people spend the majority of their day on their phones rather than socializing or going out. You'd find them on their phones even when they are in the company of friends, it's alarming and that's not even half of it. Modern research demonstrates that such devices emit radiations that can harm our brains and bodies. Further studies show that staying for long hours on the phones can weaken eyesight, produce headaches and even stimulate mental illnesses. As a result, some people believe that the government should intervene and restrict mobile ownership. But would that help?

In my opinion, I don't think that restricting phones would do the trick as the government can't control people's behaviour and tendencies. I believe that it's a matter of personal choice; people are free to do what they want. However, the government could still play a role by spreading awareness about proper phone usage and perhaps issue some laws that protect the public like the one prohibiting phone use while driving.

In conclusion, Mobiles are handy devices that we can't do without but considering the consequences that comes along with it one should be careful about how they use them",Yes,Yes,Yes,Yes,7
Should employees focus on their qualities?,"While recruiting a new employee, the employer should pay more attention to their personal qualities, rather than qualifications and experience. To what extent do you agree or disagree? Give your opinion and include relevant examples.

Recent decades have witnessed a burgeoning growth of numerous industries; therefore, recruiting the right person for the position is crucial to the development of enterprises. But how do we determine if a person is the best fit? Advocates of conventional recruitment methods opine that this candidate must have sufficient experience and qualifications needed for that job. Nevertheless, some people argue that candidates’ personal qualities cannot be ignored. In my view, both components are of equal importance.

To begin with, the conventional approach of checking potential workers’ qualifications via their resumes, LinkedIn profiles, issued qualifications and certifications from authorised organisations is vital. Apparently, whenever we submit a job application, we are always required to attach a CV while a cover letter is optional. Without a decent qualification, even if that candidate’s personal characteristics are suitable, the enterprise will need to carry out lots of skill trainings eventually. ",Yes,No,Yes,No,6
Does creativity matter to support workers' careers?/,"Many industries need the right strategies to upscale their businesses in the 4. 0 industrial. Those strategies aim to meet higher efficiency on production, expansion to new markets, and competency in the global business. One of the strategies is creating skilled workers, ready to face human resources, to meet requirements in the 4. 0 industrial revolution. As demands of skilled workers increase, requirements to meet also remain challenging. For example, many companies today require workers to fulfill both hard skills and soft skills.

According to Linkedin situs, it is important to balance both the hard skills and soft skills of workers. One of the soft skills, creativity, is becoming a great source of help to employees to do their jobs. As creativity contributes to developing employees’ careers, the development of it is becoming crucial. Parlamis found that possessing creativity is a CORE, a competency that must have by job seekers to meet job criteria. ",Yes,No,Yes,No,6
The detailed description about crime in newspapers and on television can affect the people and cause many social problems. Some people say that this should be restricted. Do you agree or disagree?,"In this contemporary era, it is the heated argument that citizens can get influenced by the detailed information about offense give in newspapers and new channels on T. V. Which can lead to plethora of social issues. such as, rape, robbery and deviance. A number of masses reckon that it should be cramped. I am completely disagred with this senerio. In this essay, I will discuss the reasons why I am not with this view with relevant examples.

There are various reasons why this should not be restricted. The effective one is that it aware the society. In other words, by watching and reading about crime. People will get aware from different kinds of criminal activities and get to know the punishment give to person who act that illegal act. They will get the full details that act like how and why. Moreover, Other criminal will also watch that newes and learn the lesson from that news. What it means, T. V channels also show how they punish criminal to act crime which can scared them. Consequently, if they do just small crimes and thinking to do some big offence. They will get scared and will not try to do.

On the flip side, there are a number of people who think that it should be restricted. The main one is that people will get effected by watching such activities. Mostly youngersters will get affected because modern youth like to take risk and do advanceras things. Furthermore, It also effect their relationship with others by watching violent activities they will start getting agreesive and disrespecting their elders. For example, some news channels shown each and every part of the crime and by watching that their brain force them to experience it. Therefore, they get indulge in it slightly and start becaming criminal.

In conclusion, I would like to state that although there are a number of disadvantages of showing detailed information about crime. However, I believe that it is a good way to aware society about crime with reality rather than confusing them by giving small information. ",Yes,Yes,Yes,Yes,7
Global warming is one of the biggest threat to our environment.what causes global warming? What solutions are there to solve this problem?,"In recent years global warming is one of the pressing problem that our environment is facing. The principal cause behind this phenomenon is air pollution and deforestation. However the same can be curbed by using alternative sources of energy and planting more trees. Fundamentally, there are two prominent reasons that can attributed to the increase in global warming. Primary reason is the air pollution caused by public and private transportation. With the increasing number of vehicles which releases harmful gases like carbon monoxide, carbon dioxide and methane in the air, these greenhouse gases are the major source of increasing temperature of earth which ultimately results in global warming. Secondly, another reason that contribute to the global warming is deforestation the cutting of the trees leads to release of carbon dioxide in the atmosphere. One mature tree absorb as much as 48 pounds of carbon dioxide each year. For example, according to American scientific research, deforestation is responsible for 15 percent of the greenhouse gases in the atmosphere. Although, there are plenty of ways to solve this problem by taking some possible measures with the coalition of the public and authorities. Chiefly, the public ought to use CNG powered vehicles as natural gas regarded as clear fuel. Government should implement laws to minimize the adoption of current vehicles. For example, in many developed countries number of vehicles decreased and petroleum energy is replaced by CNG. Secondly, as a way to tackle this issue the authority could make the law to protect the remaining forests and new schemes should be placed to promote the planting of trees. Furthermore, government should also launch awareness programs to protect the forest. In conclusion, although the world is suffering from the hazards of increased global warming because of the inclined carbon content in the air and loss of green trees, while the same can be tackled by introducing natural gas over petroleum and by protecting trees. If the state implemented these solutions, the problem can be reduced to a manageable level.",Yes,No,Yes,No,6
"In the modern world, it is possible to shop, work, and communicate online without any face-to-face contact with other people. Is this a positive or negative development?","Nowadays, it appeared an opportunity to interact with society using any device that can provide internet access. This gives people plenty of beneficial opportunities as new inventions make life effortless to live.

One of the major benefits that modern technologies bring is that people can obtain mental and physical relief from everyday routine. People get the opportunity to acquire food, communicate and entertain themselves through internet which is less stressful as there is no society that can have an effect on you. Also, it becomes comfortable to do everything online using any device with an internet connection by making a few simple clicks without wasting time on commuting. Moreover, communication with those who live in another place becomes not only facile as there are no people to judge language knowledge, but need to reach the interlocutor fades into the background.

Another considerable advantage impacts international businesses and companies. It is essential for companies to stay competitive and find professional specialists, and the internet creates an opportunity to hire people. For example, if work efficiency in a company is unsatisfactory due to the poor number of professionals in the area, specialists from different countries become an adequate replacement. Moreover, rent of premises will no longer become part of the expenditures, because online work allows to stay at home and work remotely.

Considering all things together it can be said that present times technologies that allow remote access to everything with no social interactions bring benefits for people as living becomes simple and for businesses by giving opportunities to develop. ",Yes,Yes,Yes,Yes,7
"In many countries, paying for things using mobile phone (cellphone) app is becoming increasingly common. Does this development have more advantages or more disadvantages?","Technology revolution is leading us to the era that never appeared in the imagination of our ancestors, especially modern tap and pay method allows us to buy products with taps of phone onto the POS machine, it is debatable that cashless payment is exposing ourselves on risk of compromising personal privacy and people rather adhere to conventional paper based payment, however using mobile phone to finalize payment seems has more advantages over traditional paper based payment, especially in the sense of lifting the restriction of payment location as well as time saving.

Cashless payment has more advantages over cash payment in terms of cashless payment, in other words, paid by phone or apps allows us to execute the paying behavior online without visiting the vendor in person, for example, paying our utilities bill online is easier, simpler than visiting the governmental facilities physically, in re-shaping of paying method brings great convenience to us and undoubtedly mobile phone will gradually replace cash payment.

Furthermore, cash payment will be overwhelmed by cashless payment due to it saves ample time, paying online enable us to make the payment with few taps on screen rather than queuing in front of counters, for instance, online payment made the grocery shopping less time-consuming as it would simply complete with few click on laptop, whereas cash purchase requires ones to visit and spending time at brick and mortar store, thus online payment has absolute advantage compare to conventional payment method.

To conclude, paying with mobile phone offers us more flexibility on location and save more times, traditional payment has less to offer in this aspect, thus paying with apps has greater advantage than cash, in essence, apps payment is replacing cash in majority fields. ",Yes,Yes,Yes,Yes,7
It is better to have one true friend than all the acquaintances in the world. Do you agree or disagree with this statement?,"Numerous people would rather have one loyal comrade than have lots of acquaintances around the world. I consent with this preference and think that a true pal is more worth.

First of all, I believe that the intimate mates give their friends a plethora of motivation to overcome fierce time. In fact, not only do they participate in the their matey cheery moments, but also do not omit them alone among fluctuations of their life. That is while, acquaintances are only traders who exchange their joyances, knowledge and experiences. Although, these communications are essential for personal growth, are not reliable completely. To cite an instance, all teammates in workplace are not necessarily close friends and can be potential rivals. Hence, extensive relationships with colleagues, classmates, online friends, etc. would not eliminate the requirement to be with a cordial comrade.

Secondly, all people need real consideration and respect from those around them and if they are not taken care of, they will be devastated. Yea, human beings will have neither mental health nor physical health without the attention. To illustrate, if people do not have self-confidence, they will not improve their abilities, values and talents. At the same time, entire self-esteem of human is tied up with care and regard of others. This instinctive requirement for a happy and healthy life is responded frequently by immediate family and cordial friends. In fact, shallow and sometimes destructive relationship with acquaintances do not satisfy people's vital demands and wants because they have no obligation to befriend us.

In conclusion, human beings may be made numerous people aware of during their life, but the number of their close comrade is not so much. Therefore, I think we need friend that who believes in us and gets on well with us. ",Yes,Yes,Yes,Yes,7
is job salary more important than job satisfaction?,"It is used to be considered that passion to job is not that crucial as huge donation for it. I fully agree with these thoughts and totally understand that job salary is much more privilege than job satisfaction.

First, I truly believe that high salary could bring more successful and safe opportunities to the bright and future than job that I am into. Moreover, I could say that gainful job give much better work promoting. It’s more common variant that person who is working on successful work will live happier life full of things that she or he always wanted to try. On top of that, I hardly believe that huge salary means open doors into carefree and confident life. For instance, well-known businessman and businesswoman’s also chose high income that was predicted from the extreme beginning. Furthermore, in 2017 was made an anonymous psychological vote, which showed that such kind of personalities live their best lives without regret.

Overall, if job brings money you will have the brightest life and bigger basis under your legs.

Secondly, I’m really into thoughts that it doesn’t matter which kind of job are you doing if you have good wage. You could be marketing manager or programmer, doctor or lawyer, it doesn’t play a huge role if you are competent, and for your work you gain high salary. Even if you don’t get enormous pleasure from your job you always can visit courses and a number of lessons that you are really into. Another point is that you will pay for these lessons from your non loved work, but which gives you much more abilities. As it was shown by huge amount of people that kind of work is not that bad like everybody supposes.

Generally, you don’t need to love your profession, on the contrary you should be a good worker as well as for it, you actually gain your money.

In other words, I strongly agree and believe that income job brings more safe and successful future than job with real satisfaction. ",Yes,Yes,Yes,Yes,7
"In the future, nobody will buy printed newspapers or books because they will be able to read everything they want online without paying","People have the prediction that the paper-backed reading sources will no more in demand. The given argument is the possibility of reaching all inneed materials via internet and plus free of charge. This essay completely agrees that the future of the reading habits will be throughtout the internet and for free. Firstly, because of the internet provides the easiest way of reaching news or books, and secondly, the wide range of sources are offered by internet. ",Yes,No,Yes,No,6
People have the prediction that the paper-backed reading sources will no more in demand.,"People have the prediction that the paper-backed reading sources will no more in demand. The given argument is the possibility of reaching all in need materials via internet and plus free of charge. This essay completely agrees that the future of the reading habits will be throughout the internet and for free. Firstly, due to the fact of the internet provides the easiest way of reaching news or books, and secondly, the wide range of sources are offered by internet.

First of all, the internet access creates large opportinities and provides it easily. Just by clicking the ""search"" botton in Google search engine, it is possible to find number of book or other resources for reading in less than 1 second with normal internet speed, which meaning it is less time consuming than in libraries or kiosks. For example, in my country nowadays the traditional reading habits of both elderly people and students in universities had changed vastly. Thus, electronic books and digital newspapers are more attractive due to the easiness of reaching out. ",Yes,No,Yes,No,6
“prevention is better than cure”. Researching and treating diseases is too costly so it would be better to invest in preventative measures. To what you extend do you agree.,"Nowadays huge amount of scientists are into thoughts that prophylactic is more better than healing. Diagnostic and cure of variety illnesses needs much bigger wastes than prevention of measures. I honestly believe that various kinds of new measures would greater impact in our medical science than current diseases treating.

Firstly, I strongly believe that not every treating would help specific people. All way of healing one particular illness in the end could become like a waste of time and person, who had this disease will pass away. I truly can not imagine huge numbers of donations that were spent on such non helpful treatment. Moreover, doctors never could be sure that their purposes of treatment will have success in future.

On the contrary, donation to future dominant healing system, which is preventative measures in all ways is the finest choice. Firstly, only one discovered measure could help in treating thousands of people in different world angles. Although, I am really into thoughts that this experience would cost less than healing one disease. Secondly, I suppose that dying out of human population will dramatically rise down.

Generally, successful future of prophylactic was predicted by scientists and UN few years ago. Also arguments to this decision is presented in this essay.

To sum it up, I would say that on our future prevention of measures would have a huge impact, to be precise, awesome impact. Dying out will fell down and for many years worldwide budget will increase at least for 20%. ",Yes,No,Yes,No,6
"The presence of technology in the classroom has become more and more apparent and offers students tremendous resources with which to supplement their education. Given time, technology will completely replace the traditional teacher in the classroom. Do you agree or disagree with this statement?","Technology has been increasingly used throughout the world. This is very apparent in classrooms today. It is disagreed that technology will replace teachers in the classroom. This will be proven by analysing how teachers can cater to the needs of their students as well as motivate and discipline them.

A very important aspect of teaching is the ability of the teacher to shape their teaching style to the needs of their students, as an example, if students in any given class are having trouble understanding a classroom topic, the teacher can rephrase the topic and deliver it in a more effective way, a computerized teacher would be less in-tune with what students require and thus would be incapable of doing this, as a result, technology will not replace teachers.

Motivation and discipline are key to a student`s academic success in the classroom. This is very apparent when teaching children as children require more motivation and discipline to be taught effectively, a technology-based teacher simply cannot accomplish this as certain situations require judgement as to whether a student is acting in an inappropriate manner. After analysing this, it is clear that teachers will always be needed in the classroom.

Following the analyzation of a teacher`s ability to cater to students as well as their capability of guiding students toward success, it is clear that technology will never replace teachers in the classroom. Further, it is expected that technology will act as a supplement to teachers and aid them in instructing their pupils. ",Yes,No,Yes,No,6
People prefer to do business rather than working in an organisation,"In this present time people generally focuses to set up a new business rather than being employed under any employer in any firm.

There are many individuals who usually prefers to work freely by setting up a business. For example- A person can start a students on his own as it will give him satisfaction to work whenever he feels like and even the income is on daily basis so an individual need not to wait for a whole month to receive his salary. Individuals can use his innovative ideas, plan and take decesion for his business.

However there are people who still prefers to work under someone for guidance. For instance a candidate joins a firm to understand a work place, gain knowledge and experience so that he/she can always reach to a higher level and even there are various opportunities such as employees provident fund, health insurance policy, travelling tour packages etc allowances are also provided in an organisation.

One can always be self- employed for his/ her wish but one may not get all the benefits which an employee might receive to work in any firm or company. The business may need some investment and even can occur loss in the initial stage of the business.",Yes,Yes,Yes,Yes,7
"Some people say that because we can now watch films on our phones, there is no reason to go to the cinema. Others say that films should be seen in a cinema in order to be fully enjoyed. Discuss both these views and give your own opinion.","Technology has brought in a luring twist in this fast-paced world. A section of society is convinced that movies can be enjoyed on our phones and tablets and there is no need to go to the theatre. Whereas, others tend to differ from this thought, as they believe that films are ought to be watched in a cinema for enjoying the same completely. In my opinion, I agree with the latter school of thought.

The principal rationale for going to a cinema is to enjoy it fully while it is released and I agree. Firstly, the positive impact that audience attains after watching a movie on the big screen is immense, which make them satisfied. For instance, one of the studies conducted by the World Movie’s Council demonstrated that ninety percent of the viewers are happy when they experience a motion picture in cinemas. Secondly, the movie watchers get a real-time experience, which makes them satisfied to the core. As a result, watching movies on cinema enables people to be happy and satisfied.

On the other hand, the usage of phone or tablets can replace cinema. One reason, these gadgets are user-friendly and can be accessed anytime and anywhere. For example, one of the surveys conducted by the US film industry illustrated that thirty percent of people opt to watch films on their home devices due to its easy access. Another reason for laying movies at home is cost effective, which allows everyone in the family to watch films anytime and also multiple times. Consequently, watching motion pictures on electronic devices not only restricts monetary encumbrance, but also easy to access.

In conclusion, my strong conviction is that movies can only be fully enjoyed in cinema rather than at home, which make the audience happy and self-contained. Therefore, the public should be physically present in the theatre to enjoy the movie thoroughly. ",Yes,Yes,Yes,Yes,7
Is social media harmful or useful for young people? Explain your opinion. Use reasons and examples.,"Social media is almost an everyday must’ve in today’s world. It has dominated the world to such an extent that living without it has become impossible. Social media, where most people admire it as a revolutionary invention, some people seems to take it as a negative energy on the society.

Firstly, unlike any other invention on this planet over usage of anything may have extreme side effects both physically and mentally. Mostly used by teenagers and young adults, social media isn’t left out from the squad. It has become an unsafe, addictive and negative tool. Speaking to strangers, cybercrime and bullying have peaked up since the invention of social media. Platforms such as Instagram and Facebook contributed in peaking up the suicide rates due to harassment.

In contrast, I believe that social media has paved a way to endless opportunities, it has created jobs like digital marketing, social media marketing, making business easier. Additionally, social media is a real power in today’s world, giving voice to millions of people around the world who’ve used this platform to make some revolutionary changes. It’s a cheaper and an easier version of staying up-to date on a regular basis, there’s an update every minute, all you need to do is login and you have the worst news of the day in the blink of an eye.

All in all, social media is a very powerful weapon. It can transform a person’s life within minutes to something extremely good, making you immensely popular and can also make you devil forcing you to take drastic steps like suicide. ",Yes,No,Yes,No,6
In today society more and more work is done by machines. Do you think the positive effects of these development ougwight the negative effects of individuals and society .,"With advancement of technology, the utilized of machine become increased. Some people reckon that Increasing use of machines has positive effects on people as well as society while others think it has negative effects. I believe that it's has negative effects on society and people but I also believe that it's has some positive effect also. I will discuss my view points in the subsequent paragraphs.",Yes,No,Yes,No,6
all cars that burn fossil fuels should be banned and electric crs should replace them. Do you agree or disagree?,"It is considered that most of the automobiles should be prohibited and electricians should be used instead of her vehicles. This essay agrees on that electric cars should be more in use in daily life. Some possible reasons are E. V are ecofriendly and cheaper consumptions in daily life.

To begin with, electric vehicles are very much essential for our environment. Because these automobiles are eco-friendly. That means they do not emit harmful smoke from inside of them. And by choosing to drive E. V you are helping to reduce our pollution. An EV car has zero exhaust emission. Moreover, reduced harmful smoke is good news for our health as well. And better air quality to less health problems. And E. V are also quieter as compared to petrol/diesel engines, are result there will no noise pollution.

Secondly, utilization of EV in our daily routine, cuts down our cost to a great extent. Such as expenses like no consumption of petrol, no maintenance cost. As we all now diesel is very expensive so with E. V we can recharge our batteries easily even at home or by solar energy as well. These cars are getting popularity in U. S and there is majority of people shifting towards these electric vehicles. Moreover, electricity to charge an E. V works out around a third as much per km as buying petrol for the same vehicles. However, these automobiles have low servicing cost because there is no maintenance of exhaust systems, radiators, starter motors and many more other parts that are not required.

To conclude, vast majority of people diverting themselves to use these E. Vbecause it has a lot of benefits as compared to fossil based vehicles. Merits like cheaper to run and friendly with environment, though it reduces the pollution problems in society. ",Yes,No,Yes,No,6
House is a basic necessity. Government should provide free housing to poor people. To what extent do you agree or disagree?agree,"It is believed that having a home or a place to live is basic right of an individual. It is the duty of government to ensure a home to everyone. However, I partially agree to the statement as giving home will benefit people which government should do so, but there should be a minimum charges that everyone should afford to pay. To begin with, I would like to say that house is indispensable thing and it ensure safety and comfortable feeling. Along with it, House is shelter and protect people from extreme weather conditions such as storm, rain, etc. Moreover, Home is a place where person feel relaxed with family after coming back to home from work, all this are advantages of having own's home; therefore government should provide home to every person. In addition to this, giving houses to people will improve living conditions and status of the country. Although, government should provide home, but there should be minimum price for everyone to pay. . The land and construction material costs a lot and government need support from people in order to cover up expenses. For example, Many state government will be in debt without support from the population of the country. The government should try to make Houses cheaper as compared to market price.

By keeping the above facts in mind, The conclusion is that government should give free houses to everyone but there should be small price for poor people in order to acess the home. ",Yes,No,Yes,No,6
The reading and the lecture are about the reasons why north american companies will adopt or not a n ecocertified in order to follow the path of other international companies,"The reading and the lecture are about the reasons why north american companies will adopt or not a n ecocertified in order to follow the path of other international companies. While the author of the reading states that american companies will not follow the same path than international ones did, the lecture affirmed that american companies will adopt the certification, thus contradicting the lecture and giving three reasons.

First of all, according to the reading american consumers are exposed to so much advertising, hence the benefit of publishing in product´s labels that your product is ecofriendly would not be perceived by americans. However the lecture disputes this point by indicating that americans do not give the same attention to every kind of publicity so that americans will value those advertising.

Furthermore, the reading argues that americans prefer price and the certification will increse the final price of good, but the lecture contradicts this statement affirming that when the difference in price is less than 5%, consumers look for ther difference, such as environmental care.

Finally the text says that american companies do not have to be worried about international ones, since they sell all their products in America; however the audio affirms that international companies will entry to America if consumers do not find the kind of products that consumers look for, which are ecofriendly products.

In short, although the reading and teh lecture are about the same topic, the three reasons given by the passage are effectivly challenged by the lecture.",Yes,No,Yes,No,6
2. There is an increasing trend for people to live alone. What is causing this to happen? Will it have a negative or a positive impact on the society?,"The extraordinary rise of living alone is among the most significant social trends of the modern world. Living alone is ubiquitous in developed, open societies, and this particularly affects health and health care. In my opinion, experiencing one has a negative impact on society.

One possibility is that there is a causal link between living alone, being socially isolated, and feeling lonely. But these are three distinct conditions, and living alone does not necessarily mean experiencing one or both of the others (being isolated or feeling lonely). Overall, the main cause of living alone is the tendency of life, nowadays, people do not get married any more than before. Secondly, individuals often spend more time studying and working, especially in civic. Research shows that Americans who are working as journalists, scholars, health care providers, and business persons usually conflate living alone, feeling lonely, and being isolated, and the result is widespread confusion about each condition.

In more detail, living alone is the consequence of isolation because of physical frailty as well as deaths in their family and friendship networks. Thus, they have smaller social networks and less stable contact with children, and they face heightened risks of isolation if they divorce or become widowers.

The risks of social isolation depend not only on which kind of people, but also on the place people are living. Poor neighborhoods with a robust social infrastructure, busy sidewalks, and these social infrastructures suffered higher mortality rates.

At these points, most policy recommendations for reducing living alone are essential. As the population ages and the number of people aging alone grows, societies throughout the world will need to develop new supportive housing programs and new forms of elderly care. ",Yes,No,Yes,No,6
"In many countries, paying for things using mobile phone (cellphone) app is becoming increasingly common. Does this development have more advantages or more disadvantages?","technology revolution is leading us to the era that never appeared in the imagination of our ancestors. , especially modern tap and pay method allows us to buy goods with just a tap of phone onto the POS machine, it is debatable that cashless payment is exposing ourselves on risk of compromising personal privacy and some rather adhere to conventional paper-based payment than accepting new online payment, however using mobile phone to finalize payment has more advantages over traditional paper-based payment, especially in the sense of lifting the restriction of payment location as well as time saving.

Cashless payment has more advantages over cash payment in terms of cashless payment, in other words, paid by phone or apps allows us to execute the paying action online without visiting the vendor in person, for example, paying our utilities bill online is easier, simpler than visiting the governmental facilities physically, there are apps enable us to top up electricity and cellular bill with simple steps of touching the screen, this newly invented smart phone payment brings tremendous convenience to us and undoubtedly it would gradually replace cash payment.

Furthermore, it is foreseeable that cash payment would overwhelmed by cashless payment due to it saves ample time in paying process. paying online enable us to make the payment with few taps on phone rather than queuing in front of counters, for instance, online payment made the grocery shopping less time consuming as it would simply completed with few steps on smart device, whereas cash purchase requires one to visit and spending time at brick and mortar store, thus online payment has absolute advantage compare to conventional payment method.

To conclude, paying with mobile phone offers us more flexibility on location and save more time, traditional payment has less to offer in this aspect, thus paying with apps has greater advantage than paying by cash, as the trend goes, cash will be replaced with apps payment in majority fields. ",Yes,Yes,Yes,Yes,7
"Task 2 It is sometimes said that people should be encouraged to get married before they are 30, as this is the best both for the individual and for society. Do you agree or disagree ?","Marriage is an undeniable needs for both male and female. By bonding together for lifetime at suitable age it is blatant truth that society can also get benefit from the couple if the relationship between husband and wife is healthy. I agree with the statement.

To start with the positive side of the essay it is clear that every single thing has it’s proper time. Now a days people are so busy with their carrier they have not that much time to think about the future life partner. They had relations for passing time as I could say they are in live-in to fulfill physical needs which is harmful for the society. Ethics are rarely found in the character of any person in the present world. When they realized their mistak, there will be no time to fixed it up. Late marriage brings them think that their children will grown up late. They haven’t any time to spend quality time with their parents; sons and daughter are so busy with their daily life and going to do the same mistake. Furthermore, parents can't ask any questions to their children which put them in guilty situation.

With respect to marriage and better half, a marriage can be positively set an example for the society. By sharing the same bond with love and support can bring happiness. People are wise enough at the age of 30 that they can make their own decision. By getting marriage sense of responsibility has grown in the personality which can’t be seen any other relations.

In the view to aforementioned facts and circumstances, I opine that getting marriage in a proper age can have some challenges but it should be bear in mind that nothing is impossible if there is a reliable person beside you who can support you either be a judgemental one. ",Yes,No,Yes,No,6
"Smoking not only harms the smoker, but also those who are nearby. Therefore, smoking should be banned in public places. To what extent do you agree or disagree? Give reasons for your answer and include any relevant examples from your own experience or knowledge.",Actually smoking is a bad habit. Nowadays most younger like to smoke and they don't care forward a people around him. every person want to somke should smoking in open area and should stop smoking in public places to don't cause any pain for any person. I think tody every person should stop smoking because every person know the advanteges of smoking. All media show us the disadvantages of smoking.,Yes,No,Yes,No,6
Describe a time when you forget something important,"In my life their were several situations when i forgot something important but here i would like to talk about a time when i forgot very important thing, when ever i study in 10 class at that time i forgot my 10 admit card at home without that no one allowed to appear the exam, that was very indespensible or elixir for exams. When i went to school at that time my teachers told me to check your all cruical things like as pen, pencil, and very important admit Card and identity card but when i checked in my bag so that had not me so i am very panic at that time and then i told to my class teacher i forgot my admit card at home so my teacher scolded me and i felt very difficult. Then i called my family, told i forgot my card at home, so please anyone gave me in school. At that period no one in home, my family go out due to urgent work, later i called my neighborhood to helped me, then my best friend came to school and that helped me in bad situation and also give me my admit card at school to me and at that time i Was at the moon and face so much difficult. I have also learnt promanant lesson that i should never forget important things",Yes,No,Yes,No,6
Big salary is much more important than job.To what extent you agree?,"While searching for employment, there are myriad of factorsthat are kept in mind like job satisfaction, monthly incomeand working environment. However, it is opined that earninghuge amount of money is extremely imperative instead ofhaving satisfaction at a workplace. Although money plays acrucial role in survival, I do not completely agree withaforementioned view and I will explain why in this essay.

Certainly, there are number of argument in favor ofimportance of salary at firm. The preponderant is the income plays a significant role in fulfilling basicnecessities of life and if someone has higher income, thenthey should easily accomplish their dreams of luxurious lifeThese Days such type of lifestyle gives people opportunityto showcase their status in society. In spite of the luxuriouslife, higher salary frequently insures better future for the familyfor instance, there are number of parents who are merelyworking for long hours to earn huge amount of money, andthey invest that money in providing better education andlifestyle to their children.

Despite the fact that manly provide bright future andbetter life, the idea that at firmbig salary is more pivotal than job satisfaction is completely preposterous. The person who is only working for money, often became victim of the stress whereas the person working by ones will occasionally tired at workplace. These are those people who choose their field by themselves, as a result they are more creative and always try their best for achieving good results for the company. To cite an example. Sundhar Pichai the CEO of the renowned companyGoogle achieves this level of success owing to the fact that he is satisfied: with his feild, and he always states follow your heart, and it isthe only path to success. Therefore, satisfaction of employer is much more crucial as compared to salary. Owing to the fact that it leads to prosperous and successful life.

To conclude, it is definitely a case that essential for better life but to accomplish happiness satisfaction and interest is required. Personally, I believe the working condition that satisfies the mind of a person iscertainly more vital. ",Yes,No,Yes,No,6
